1	Wise	OH	6.25	Wood	100.00	5.15	4.75	515.00	475.00	61.88	1051.88
2	West	IN	6.00	Carpet	176.50	2.25	2.10	397.13	370.65	46.07	813.84
3	White	PA	6.25	Wood	213.67	5.15	4.75	1100.39	1014.92	132.21	2247.51
4	Mosher	OH	6.25	Carpet	214.00	2.25	2.10	481.50	449.40	58.18	989.08
5	Paulette	VA	5.30	Laminate	193.00	1.75	2.10	337.75	405.30	39.38	782.43
6	Petersheim	VA	5.30	Wood	180.75	5.15	4.75	930.86	858.56	94.84	1884.26
7	Stillwell	VA	5.30	Wood	203.50	5.15	4.75	1048.03	966.63	106.78	2121.43
8	Beresford	VA	5.30	Laminate	187.75	1.75	2.10	328.56	394.28	38.31	761.15
9	Ashley	WV	6.00	Carpet	201.00	2.25	2.10	452.25	422.10	52.46	926.81
10	Frank	KY	6.00	Laminate	192.00	1.75	2.10	336.00	403.20	44.35	783.55
11	McDonald	IL	6.25	Carpet	186.25	2.25	2.10	419.06	391.13	50.64	860.82
12	Steele	MO	4.23	Carpet	178.00	2.25	2.10	400.50	373.80	32.75	807.05
13	Winston	TN	7.00	Tile	208.00	3.50	4.15	728.00	863.20	111.38	1702.58
14	Hamilton	MN	6.88	Laminate	189.00	1.75	2.10	330.75	396.90	50.06	777.71
15	Stephens	ND	5.00	Carpet	196.67	2.25	2.10	442.50	413.00	42.78	898.28
